gene_id,P_time0,P_time1,P_time2,P_time3,P_time4,P_time5,P_time6,increase,y0,True_diff_t6,True_bias_diff_t6,True_obs_diff_t6
ENSDARG00000098689,6.527109146118164,13.989741325378418,27.40385627746582,39.702720642089844,31.787317276000977,23.06358528137207,17.505800247192383,0.14498155459563958,5.573551999999999,0.002304187937741376,0.45402510442479704,0.9609844570125899
ENSDARG00000010437,5.613553047180176,12.323212623596191,24.87140655517578,38.133541107177734,34.142784118652344,27.596216201782227,23.054805755615234,0.11146493302428984,35.873720000000006,9.482445291268953e-07,0.32267838469214866,0.9829670669062313
ENSDARG00000061437,9.932304382324219,15.547832489013672,23.518827438354492,33.002593994140625,40.38279342651367,46.52946090698242,52.03092956542969,0.2819734718970233,9.251262,0.0,0.08671925609799766,0.9646066522283717
ENSDARG00000079015,3.442887783050537,7.3552446365356445,15.038171768188477,27.53876304626465,41.310794830322266,54.235694885253906,64.77210235595703,0.045051109782932,1.614566,4.781090987462467e-05,0.05702586160102194,0.7397404461799373
ENSDARG00000010300,17.842397689819336,22.154356002807617,27.15643310546875,31.904935836791992,33.78840255737305,34.639400482177734,35.36924362182617,0.5589085295502783,15.1594312,0.0,0.16808039344753828,0.8277291844122691
ENSDARG00000025421,5.516735553741455,12.053818702697754,24.34507179260254,40.71810531616211,50.41523361206055,55.78352737426758,59.360633850097656,0.10805861297513594,7.567738,0.0,0.06749645539572381,0.7187909405782158
ENSDARG00000025420,4.859703540802002,8.57263469696045,15.063469886779785,23.558788299560547,28.03399658203125,30.629493713378906,32.91242218017578,0.08593888652062709,3.1610660000000004,0.2232721345783194,0.12181511833908973,0.7348993638332477
ENSDARG00000024693,6.910139083862305,14.630465507507324,28.303600311279297,42.82538604736328,41.97039794921875,37.74517822265625,34.679664611816406,0.15970721020882847,32.83494,0.0,0.1752840108798482,0.8114426946829981
ENSDARG00000098075,10.58881664276123,20.73463249206543,36.547664642333984,50.802181243896484,47.77656173706055,42.053707122802734,38.085670471191406,0.3086054730492573,33.90536,0.0,0.1489297847556519,0.6459862105127568
ENSDARG00000101542,5.2824625968933105,10.22622299194336,18.864849090576172,31.19108772277832,42.392127990722656,51.73758316040039,59.25542449951172,0.09997391761946017,1.6987881999999999,0.0,0.06681567412545811,0.23421166783335856
ENSDARG00000006240,22.312572479248047,37.623714447021484,55.6708869934082,64.72700500488281,51.465667724609375,39.908531188964844,32.771484375,0.6646335085027063,49.3048,3.0852345405581846e-07,0.19516643503411343,0.7891391895664773
ENSDARG00000054501,6.8329267501831055,13.863934516906738,26.038476943969727,37.908329010009766,32.92955780029297,25.911806106567383,21.063329696655273,0.1567316950608235,5.726484,9.710571711475735e-06,0.36357294116824024,0.9266627639173115
ENSDARG00000035607,5.101935863494873,10.162728309631348,19.24072265625,30.557641983032227,33.89651870727539,34.171504974365234,34.31492614746094,0.09390037725902128,2.269908,5.444620320585557e-06,0.18065443664933611,0.9083464587233995
ENSDARG00000063249,6.201836585998535,10.987651824951172,18.73188018798828,29.097002029418945,37.89260482788086,45.34159469604492,51.846004486083984,0.13275173476257057,4.10171,6.173736984604861e-07,0.0859083711951365,0.5770813178716541
ENSDARG00000062363,5.285232067108154,9.10679817199707,15.236318588256836,23.463058471679688,30.26124382019043,36.09148406982422,41.4906120300293,0.10007333092558186,10.750958,2.3153307137425956e-05,0.1274566113175937,0.9752150309238145
ENSDARG00000007065,2.973161458969116,7.3775811195373535,17.143192291259766,32.36825180053711,41.26858901977539,45.65562438964844,48.516014099121094,0.033990909577373066,2.5281480000000003,4.924406260233532e-06,0.09706424244985624,0.30578217931065044
ENSDARG00000070432,10.247499465942383,17.28629493713379,27.652332305908203,38.4383544921875,40.6638298034668,40.0587272644043,39.45844268798828,0.29477491815192897,6.793272399999999,0.0,0.14111811954840892,0.38028008599083596
ENSDARG00000055899,4.029265880584717,8.740071296691895,17.971256256103516,32.083404541015625,45.06550216674805,55.721214294433594,63.876258850097656,0.06069583708382868,2.66549,5.299492108839058e-06,0.05957732982965658,0.7981949143340261
ENSDARG00000061789,2.4621188640594482,9.438114166259766,29.99534034729004,55.56551742553711,51.299461364746094,44.222110748291016,40.422401428222656,0.02356069014101914,0.3812638,0.0,0.13369250686291254,0.7793654033277921
ENSDARG00000060510,3.584089517593384,8.991951942443848,20.778982162475586,38.38261795043945,48.34954071044922,52.91582107543945,55.59663391113281,0.048649493610251594,11.015748,6.739503173261372e-08,0.0753468380746578,0.6828934109750285
ENSDARG00000043732,11.583175659179688,17.433124542236328,25.394041061401367,34.856971740722656,43.363067626953125,51.111236572265625,58.16976547241211,0.3480954703855724,17.381449800000002,0.0,0.06952000503578833,0.5910837574060311
ENSDARG00000004280,14.584263801574707,22.779590606689453,33.73955154418945,45.15777587890625,50.92388153076172,54.01473617553711,56.2843132019043,0.4584620060296385,31.26214,0.0,0.07362075044137127,0.26936176887127217
ENSDARG00000074909,2.400341033935547,9.108419418334961,28.855945587158203,49.21916580200195,33.426841735839844,21.22236442565918,14.877463340759277,0.022417351523246896,0.42843020000000004,0.010812023615420607,0.5283521257295041,0.7750389043293473
ENSDARG00000042946,7.151278018951416,13.614028930664062,24.338123321533203,35.15058517456055,32.34764099121094,27.022811889648438,23.072715759277344,0.1691125112980849,2.6190688,2.2785640637069268e-06,0.32308117039613204,0.970460551222582
ENSDARG00000044513,7.496960639953613,15.325007438659668,28.710237503051758,41.527469635009766,36.54457092285156,29.374101638793945,24.433914184570312,0.18284583057886303,8.707038,0.0,0.2969016915840852,0.9388401683032365
ENSDARG00000034883,20.922258377075195,31.762847900390625,44.82452392578125,55.192108154296875,55.712162017822266,54.852901458740234,54.80141830444336,0.6353949963246862,21.499586,1.1272740922991735e-07,0.0838118705794651,0.9184826667138618
ENSDARG00000060594,4.899685859680176,11.044110298156738,23.063949584960938,39.261478424072266,48.3858642578125,53.457122802734375,57.00645065307617,0.0872228211172382,10.664054,6.240639430893625e-08,0.07396480556403065,0.8816852895429356
ENSDARG00000100519,8.082262992858887,11.556347846984863,16.24689483642578,21.414535522460938,23.99950408935547,25.48387908935547,26.797466278076172,0.2063826789987413,21.88201,1.8710532021744228e-05,0.2593105288541874,0.9221450244353607
ENSDARG00000018623,18.001689910888672,24.937063217163086,33.43295669555664,41.481929779052734,43.97612762451172,44.51518249511719,44.86516571044922,0.5633491086445738,28.349619999999998,0.0,0.11183898268530029,0.7088500008968047
ENSDARG00000038876,3.767055034637451,10.709343910217285,26.80952262878418,46.78062057495117,46.222557067871094,41.339717864990234,38.14586639404297,0.05345684465348543,1.9177951999999998,0.0,0.14735140163244395,0.9192193640922515
ENSDARG00000006010,6.955898761749268,13.755651473999023,25.34832000732422,37.76329040527344,37.06149673461914,33.16990280151367,30.176546096801758,0.16147001750055184,33.575478,0.0,0.21785389929087123,0.9868360602902932
ENSDARG00000002298,6.156559467315674,11.669960975646973,20.985849380493164,31.933914184570312,34.26373291015625,33.40971374511719,32.518409729003906,0.13111561034227723,9.590883999999999,0.0,0.19277783375272825,0.9838420287024248
ENSDARG00000023152,8.078311920166016,13.01449966430664,20.315465927124023,29.429397583007812,37.01338195800781,43.65941619873047,49.776554107666016,0.20621627038419613,9.013276,4.3637164656026123e-07,0.09462289859815633,0.846990593471794
ENSDARG00000003250,9.25329303741455,26.315279006958008,55.226341247558594,62.13031768798828,29.567623138427734,13.6099214553833,6.939943790435791,0.25419341941668333,8.570426000000001,0.6563920697529395,0.27817246312012894,0.3395825476002176
ENSDARG00000043021,11.111536979675293,19.465927124023438,31.829898834228516,45.10063552856445,51.4911003112793,55.012699127197266,57.718345642089844,0.32951118775971316,10.1365862,6.199807136399601e-08,0.07334588835610502,0.9571213019515629
ENSDARG00000010169,8.687456130981445,14.85033893585205,24.238365173339844,35.80574035644531,44.63785171508789,51.57830047607422,57.359310150146484,0.23100678873032124,11.236720000000002,0.0,0.07251854911302943,0.9445003421347503
ENSDARG00000040266,6.358372211456299,14.266990661621094,28.904151916503906,44.09748458862305,40.888160705566406,34.72971725463867,30.50330352783203,0.13861202280186558,84.73607999999999,0.0,0.213766671508936,0.9252400488859536
ENSDARG00000008979,3.07812237739563,9.125404357910156,24.036088943481445,42.59674835205078,38.61098861694336,31.5841121673584,27.129919052124023,0.03634305059188159,2.7647256,1.0029787465794664e-06,0.2569221847411696,0.9609585569403586
