Transcript ID	Gene name	Poly(A) tags	Mean TL	Median TL	10th %ile, TL	25th %ile, TL	75th %ile, TL	90th %ile, TL	mRNA RPKM	RPF RPKM	log2(TE)
ENSDART00000089640	PDE3B	21	27.9	17.0	9.2	11.1	32.4	84.0	NA	NA	NA
ENSDART00000060545	dennd5a	4	35.0	8.2	NA	NA	NA	NA	NA	NA	NA
ENSDART00000112781	BX321870.1	2	2.7	2.7	NA	NA	NA	NA	NA	NA	NA
ENSDART00000112782	cspg4	1	13.8	13.8	NA	NA	NA	NA	NA	NA	NA
ENSDART00000112784	LYRM9	409	14.0	11.6	2.8	7.0	18.0	30.9	NA	NA	NA
ENSDART00000112787	CABZ01073641.1	1	49.0	49.0	NA	NA	NA	NA	NA	NA	NA
ENSDART00000032324	hddc3	59	43.0	35.7	13.5	20.4	56.4	100.2	NA	NA	NA
ENSDART00000032322	abcg2c	56	23.1	20.7	8.4	12.0	27.8	50.5	NA	NA	NA
ENSDART00000109926	man1b1	32	42.4	33.0	4.2	10.5	70.4	110.9	NA	NA	NA
ENSDART00000109927	CGREF1	2	28.7	28.7	NA	NA	NA	NA	NA	NA	NA
ENSDART00000108852	pkmyt1	247	16.5	14.2	1.8	7.6	23.6	33.5	NA	NA	NA
ENSDART00000074116	rab33ba	205	27.3	24.2	8.0	15.4	35.7	47.7	NA	NA	NA
ENSDART00000074117	aspa	4	26.7	28.3	NA	NA	NA	NA	NA	NA	NA
ENSDART00000003847	mylpfb	11	20.8	20.2	2.8	7.4	33.9	46.1	NA	NA	NA
ENSDART00000078642	VPS37B	239	31.6	26.2	5.9	13.2	44.7	66.6	NA	NA	NA
ENSDART00000130208	CARKD	300	21.5	18.2	6.7	10.6	27.9	44.2	34.19	16.04	-1.09190028098
ENSDART00000113353	BX248510.1	298	14.2	11.9	2.7	6.7	20.0	27.8	NA	NA	NA
ENSDART00000105586	srsf2b	17	37.3	29.7	16.4	23.7	49.4	67.4	NA	NA	NA
ENSDART00000104828	gtpbp2	2	16.3	16.3	NA	NA	NA	NA	NA	NA	NA
ENSDART00000124552	FASTKD5	134	35.5	36.2	9.9	18.2	48.6	63.7	NA	NA	NA
ENSDART00000023336	rps6	434	29.7	28.1	6.9	16.3	41.4	54.6	189.93	17.61	-3.43100098711
ENSDART00000109509	PTPLA	5	58.1	66.0	NA	NA	NA	NA	NA	NA	NA
ENSDART00000124559	C3H17orf104	28	24.5	17.9	5.3	11.3	37.1	51.0	NA	NA	NA
ENSDART00000062366	rsrc2	278	19.7	17.6	6.8	10.2	26.0	36.8	106.91	30.09	-1.8290407924
ENSDART00000080332	cops5	302	23.9	21.6	6.6	12.1	33.7	43.4	67.82	25.6	-1.40556697414
ENSDART00000127921	CCDC114	2	35.5	35.5	NA	NA	NA	NA	NA	NA	NA
ENSDART00000127923	nktr	64	40.3	39.6	15.5	25.9	58.4	68.4	19.16	12.83	-0.578576390646
ENSDART00000137920	CCDC120	1	17.3	17.3	NA	NA	NA	NA	NA	NA	NA
ENSDART00000131558	zgc:103438	6	24.9	19.1	NA	NA	NA	NA	NA	NA	NA
ENSDART00000077642	atoh1a	2	21.9	21.9	NA	NA	NA	NA	NA	NA	NA
ENSDART00000077641	cyb561d1	1	134.7	134.7	NA	NA	NA	NA	NA	NA	NA
ENSDART00000092118	erbb4a	1	17.2	17.2	NA	NA	NA	NA	NA	NA	NA
ENSDART00000009767	vac14	15	38.3	38.1	13.2	27.0	50.5	57.7	9.35	23.32	1.31852951843
ENSDART00000131557	mvd	55	15.8	14.8	5.5	9.1	22.1	28.9	NA	NA	NA
ENSDART00000091625	atp8a1	2	24.8	24.8	NA	NA	NA	NA	NA	NA	NA
ENSDART00000058256	zp3b	519	22.6	18.4	3.8	9.0	30.7	46.1	110.9	62.73	-0.822031897738
ENSDART00000058255	bbs5	25	15.7	8.0	2.6	4.1	27.7	31.0	NA	NA	NA
ENSDART00000081746	apoa1bp	457	16.2	13.7	3.5	7.9	21.2	31.3	NA	NA	NA
ENSDART00000080339	galm	16	25.5	21.0	3.7	9.1	36.4	53.4	NA	NA	NA
ENSDART00000058258	gng5	562	84.3	85.3	30.1	59.5	110.4	130.9	NA	NA	NA
ENSDART00000033630	OSBP2	18	36.1	26.9	12.7	18.1	41.7	71.9	NA	NA	NA
ENSDART00000124022	mapkap1	56	54.5	49.0	8.1	24.8	70.2	107.8	NA	NA	NA
ENSDART00000084834	SRGAP3	6	51.1	19.6	NA	NA	NA	NA	NA	NA	NA
ENSDART00000138783	rnf216	167	35.2	27.0	8.9	14.4	47.5	74.4	59.62	62.67	0.0719786177971
ENSDART00000100895	sh2d4b	1	13.4	13.4	NA	NA	NA	NA	NA	NA	NA
ENSDART00000124164	palm1b	126	30.7	19.6	4.5	11.1	41.8	74.9	15.29	22.81	0.577078039951
ENSDART00000121447	uvssa	50	19.8	15.5	1.3	9.3	27.7	45.0	NA	NA	NA
