GeneID,GeneName,Egg,1Cell,16Cells,128c,3.5hpf,5.3hpf,#geneid.1,gene name.1,Egg.1,1Cell.1,16Cells.1,128c.1,3.5hpf.1,5.3hpf.1
ENSDARG00000006240,slc27a1a,49.6291,65.8144,63.5156,59.3558,63.112,41.8678,ENSDARG00000006240,slc27a1a,15.2866,19.9946,80.9978,73.5405,69.2216,48.3373
ENSDARG00000098075,sh3bgrl3,59.5108,54.6313,64.2755,71.3189,59.2047,31.5711,ENSDARG00000098075,sh3bgrl3,30.8778,27.4678,86.489,87.9539,87.7492,76.3823
ENSDARG00000101542,si:dkeyp-53d3.5,38.1424,37.77564,29.931393,39.619731,34.450334,28.00473,ENSDARG00000101542,si:dkeyp-53d3.5,3.3946,1.27841,13.9947,19.72784,15.5315,11.2175
ENSDARG00000003250,pik3cd,32.5098,28.6525,44.655,40.9323,36.2328,4.76954,ENSDARG00000003250,pik3cd,3.81925,4.56902,32.326,32.4407,23.1001,2.10993
ENSDARG00000022845,lias,26.7497,26.2981,37.1761,37.4944,33.2548,10.150563,ENSDARG00000022845,lias,1.29553,4.1966,13.4321,17.4939,21.2527,7.82775
ENSDARG00000052025,pomgnt1,156.69718,115.89819,156.20717,134.338,133.210926,120.352225,ENSDARG00000052025,pomgnt1,11.98690004,24.60205,112.10618,92.97311,88.28412,68.7517
ENSDARG00000025788,chp2,79.9102,84.8275,76.8554,72.3952,88.1246,15.9716,ENSDARG00000025788,chp2,15.2827,20.6872,71.9646,79.4534,68.6217,14.835
ENSDARG00000056695,phc2a,438.755943,504.278555,351.225419,475.452821,256.794277,84.002754,ENSDARG00000056695,phc2a,18.57762,28.685,189.418455,273.981885,293.144812,60.28902
ENSDARG00000054799,rfc1,106.26255,102.55972,114.67962,68.849498,86.68034,12.381645,ENSDARG00000054799,rfc1,6.835422,9.47003,58.245715,62.048599,54.448894,7.059129
ENSDARG00000076290,calr,139.443,114.673,106.859,92.0348,111.631,65.6772,ENSDARG00000076290,calr,20.1394,20.3824,80.9634,71.8125,82.1961,51.9817
ENSDARG00000030267,gtf3aa,67.7249,84.2677,73.9369,76.0993,42.0584,16.68678,ENSDARG00000030267,gtf3aa,2.92123,3.59919,23.3605,36.3278,49.463,14.384648
ENSDARG00000039913,tmem147,108.235,103.416,127.567,95.1439,100.253,62.8249,ENSDARG00000039913,tmem147,85.5271,39.2903,89.1418,94.3035,74.4653,60.7954
ENSDARG00000010437,fam46c,463.449872,538.15616,517.6804,496.795012,429.874175,83.043768,ENSDARG00000010437,fam46c,54.8515,55.03016,230.432,348.031,359.447,53.1021
ENSDARG00000061437,inpp5f,112.4089,133.6466,124.8203,129.6418,66.7546,15.61738,ENSDARG00000061437,inpp5f,14.88096,20.92492,52.0964,52.1367,51.886,8.65149
ENSDARG00000053138,lrrc47,111.131,96.613,88.656,103.674,60.5329,17.7786,ENSDARG00000053138,lrrc47,7.79782,8.46272,33.8014,46.9076,52.1105,17.8256
ENSDARG00000098689,ptpn23b,32.3985,31.9002,37.3378,33.1428,26.1691,3.17926,ENSDARG00000098689,ptpn23b,3.45684,3.18018,24.7384,33.5524,29.3543,2.13255
ENSDARG00000086471,pkig,127.671,115.223,107.96297,122.142,59.599384,4.0302092,ENSDARG00000086471,pkig,3.98004,4.97736,22.830584,48.8395,56.344667,4.91723
ENSDARG00000060510,cul4b,336.1266,310.7631,331.6166,323.5091,346.8804,142.413,ENSDARG00000060510,cul4b,20.70246,18.03545,86.60702,125.513,210.5582,107.8619
ENSDARG00000043021,slc26a11,24.2934,24.0101,25.0403,28.8117,19.8854,1.64517,ENSDARG00000043021,slc26a11,4.48572,4.14248,30.5928,35.4529,34.1123,3.00938
ENSDARG00000010169,myd88,29.8372,18.4049,33.5148,31.0783,26.5736,6.15948,ENSDARG00000010169,myd88,3.84613,2.31766,33.0351,42.2294,33.6974,4.71117
ENSDARG00000060594,hadhab,106.105,121.714065,112.012,109.452,81.01265,21.991228,ENSDARG00000060594,hadhab,3.56148,3.90564,79.858,107.654,115.085,15.6053
ENSDARG00000100519,spop,92.41995,102.62939,73.513692,88.68689,56.61523,8.706551,ENSDARG00000100519,spop,6.76247,9.3909,31.9987,48.30914,52.2782,7.0805
ENSDARG00000061789,gnl1,73.9901,75.5635,67.7263,74.4154,67.175,31.44936,ENSDARG00000061789,gnl1,3.18449,4.37626,26.9851,34.0858,42.9048,14.8701
ENSDARG00000070432,ino80,36.6578,33.1844,42.8145,43.5048,29.413723,18.26691,ENSDARG00000070432,ino80,4.25163,4.28309,25.6919,25.7108,26.4076,11.1307
ENSDARG00000055899,lzic,74.1465,63.9199,90.4683,52.2593,30.369638,11.831269,ENSDARG00000055899,lzic,2.17508,3.26539,28.0232,29.3354,24.4196,6.17094
ENSDARG00000004280,seh1l,89.843189,98.314055,89.378435,74.29791,87.535529,78.273198,ENSDARG00000004280,seh1l,40.74542134,37.32566,124.35564,125.8562,125.24431,88.77609
ENSDARG00000074909,dcaf17,41.487658,52.121557,37.931169,45.616803,16.608311,14.33833,ENSDARG00000074909,dcaf17,2.23719,3.30497,23.2659,40.3368,26.2263,8.59758
ENSDARG00000042946,hook1,46.3906,61.4906,47.2295,43.6005,38.1726,8.39316,ENSDARG00000042946,hook1,5.49141,7.91319,22.67986,23.40337,21.55445,4.884822
ENSDARG00000039892,gnpnat1,63.1681,63.83849,51.55686,68.5855,41.38163,7.7713,ENSDARG00000039892,gnpnat1,2.61356,2.369586,28.34537,27.01545,27.8897,5.57023
ENSDARG00000071562,mtus1a,133.745,132.109,151.58,142.447,75.6496,4.49446,ENSDARG00000071562,mtus1a,33.2421,38.62872,89.63245,85.0933,73.411231,3.7978
ENSDARG00000009266,uevld,51.712,68.6058,78.5192,97.4035,34.4074,3.72083,ENSDARG00000009266,uevld,12.2715,17.1847,44.1456,47.198,37.4146,2.47068
ENSDARG00000057513,mdm4,147.5188,95.107673,141.9604,141.462,51.696755,16.0282415,ENSDARG00000057513,mdm4,48.8207,52.92295,134.8301,142.2368,119.523576,14.012904
ENSDARG00000018397,hpca,29.7659,39.358885,29.85432,25.564114,23.382614,8.474837,ENSDARG00000018397,hpca,3.69139,4.91304,22.87833,21.12583,21.83207,13.189583
ENSDARG00000040266,sox19b,256.123,278.882,238.14,205.82,264.837,42.4753,ENSDARG00000040266,sox19b,68.5782,91.5432,571.286,738.82,680.275,56.5564
ENSDARG00000008979,golga1,155.07943,154.015,133.3503899,178.446271,150.986768,19.0286,ENSDARG00000008979,golga1,6.36721,8.48492,42.14365,53.8095,76.414592,8.8261
ENSDARG00000016866,fam102ab,53.3346,58.2634,54.7745,56.8354,43.8532,5.6083,ENSDARG00000016866,fam102ab,19.89117,22.40209,61.8854,60.1279,68.0597,6.40002
ENSDARG00000027689,pold1,63.057,84.0082,74.732,60.1703,54.429,39.2616,ENSDARG00000027689,pold1,17.4202,13.3037,96.7867,104.385,84.7936,51.2342
ENSDARG00000006010,bmi1a,311.101634,254.8056,316.0023,287.987,205.763641,26.4607403,ENSDARG00000006010,bmi1a,10.2902,15.2898,130.062,161.44119,191.246542,19.280872
ENSDARG00000018623,rad54l,47.0404,48.2968,38.095,37.585,32.6029,13.7231,ENSDARG00000018623,rad54l,17.4647,13.1372,51.0146,55.6153,45.8496,11.7801
ENSDARG00000038876,zgc:101569,18.07042,21.91516,19.90376,21.64632,16.39611,5.99983,ENSDARG00000038876,zgc:101569,4.03183,4.115975,25.40437,41.1795,41.0546,18.19583
ENSDARG00000034541,tgfbr2,60.354,66.4777,67.324,71.5754,34.5163,3.96618,ENSDARG00000034541,tgfbr2,1.525127,1.4384,15.25195,29.05804,33.65146,2.459566
ENSDARG00000098317,dync1li1,118.9174,115.4186,112.954556,114.7406,73.0797,10.955556,ENSDARG00000098317,dync1li1,18.25175,15.2965,53.6906,58.1128,53.212415,8.28988
ENSDARG00000053876,klhl26,22.358534,23.763852,18.08058,18.02122,18.8682,20.0623,ENSDARG00000053876,klhl26,2.0515446,2.402279,12.738297,18.604718,19.89322,18.3045
ENSDARG00000018918,rad17,56.2909,66.1288,57.3078,49.9743,26.9247,4.86777,ENSDARG00000018918,rad17,5.0607,9.52536,27.1461,38.9039,34.9734,5.97129
ENSDARG00000070399,alg2,23.5919,15.7542,22.5394,20.7683,20.5838,13.6215,ENSDARG00000070399,alg2,1.83945,3.34175,13.5206,25.79961,30.5612,23.0774
ENSDARG00000033437,rps6ka1,60.7756,63.3033,63.5619,52.839,41.7234,5.57731,ENSDARG00000033437,rps6ka1,5.099546,5.422877,16.68475,27.403809,29.70146,3.11683
ENSDARG00000057867,lasp1,288.9319,243.1869,289.2983,232.4362,132.1316,33.43488,ENSDARG00000057867,lasp1,20.86377,27.42501,109.09712,118.5937,78.88847,18.06175
ENSDARG00000033604,lrpap1,243.767,220.904,192.515,182.943,173.078,21.3998,ENSDARG00000033604,lrpap1,5.38059,6.38928,55.3986,61.3084,90.667,14.0054
ENSDARG00000017037,ikbkg,225.02491,255.85778,258.44536,268.78677,129.75957,50.40603,ENSDARG00000017037,ikbkg,8.03305,9.34532,32.02094,50.49948,66.40354,27.13097
ENSDARG00000001313,g2e3,189.18133,187.00039,227.50213,192.1037,92.93624,83.24348,ENSDARG00000001313,g2e3,14.6376,16.2084,83.41372,102.116,95.3241,42.4567
ENSDARG00000026348,csad,24.1905,19.2549,22.9615,20.5001,25.977,26.7664,ENSDARG00000026348,csad,3.91834,7.34713,21.3978,15.1834,13.7575,15.4274
ENSDARG00000035181,slc25a46,19.4942,22.057,15.9766,19.6828,8.05729,1.62013,ENSDARG00000035181,slc25a46,3.70937,3.74733,20.0659,23.8091,14.6108,1.17141
ENSDARG00000015474,ppp2r5ea,183.185,197.582,197.352,181.892,105.067,25.1644,ENSDARG00000015474,ppp2r5ea,10.9981,12.3025,48.5153,75.5038,133.229,24.8616
ENSDARG00000101557,scarb1,264.9721,325.4952,221.01093,189.1538,150.9224,28.635511,ENSDARG00000101557,scarb1,33.07463713,33.740812,73.39867,87.27104,85.013,22.11953
ENSDARG00000031761,dab2,466.2336,445.0077,489.8563,494.00895,235.1444,38.52053,ENSDARG00000031761,dab2,58.73486,68.2009,210.3851,273.6911,265.4086,75.1721
ENSDARG00000015088,dnajb11,230.24856,206.63142,220.762841,183.142,208.46439,73.50791435,ENSDARG00000015088,dnajb11,47.01915,52.4532,120.7094,127.306,127.8522,40.0783
ENSDARG00000011466,lace1a,52.0504,51.8339,55.3427,51.96288,22.36671,5.09201,ENSDARG00000011466,lace1a,2.34591,1.88484,13.7774,26.6652,22.11045,5.447733
ENSDARG00000015471,chd1l,73.9295,61.37145,73.6245,71.8248,61.0298,15.9552,ENSDARG00000015471,chd1l,4.89868,8.25879,40.6817,51.3249,47.7074,9.5904
ENSDARG00000018738,zw10,157.993,154.685,157.064,137.975,115.289,11.5404,ENSDARG00000018738,zw10,5.77244,8.69602,57.4441,77.8867,72.4136,6.9295
ENSDARG00000062521,atp9b,26.51564,35.38048,30.62374,23.9005,24.18193,5.0516,ENSDARG00000062521,atp9b,3.80908,3.060006,17.15908,17.518998,18.27226,2.92968
ENSDARG00000020529,hacl1,20.7376,14.1966,23.9742,18.8641,26.7178,13.6851,ENSDARG00000020529,hacl1,2.16287,1.70471,14.1851,19.2193,18.9244,12.3603
ENSDARG00000098820,ftr67,160.354,194.385,112.809,193.175,54.461,34.6724,ENSDARG00000098820,ftr67,10.8153,24.777,106.595,99.3562,101.031,33.9149
ENSDARG00000056623,ptenb,217.5952,212.447,228.3321,210.0227,161.9551,40.3739,ENSDARG00000056623,ptenb,32.8975,32.99365,112.2637,104.0494,108.2852,18.36115
ENSDARG00000020494,znf330,136.11203,126.18977,131.77542,148.266347,68.03074,36.282237,ENSDARG00000020494,znf330,12.76028,26.33227,53.73896,68.0656,58.4478,39.7737
ENSDARG00000102874,immt,44.5432,56.6839,57.3306,66.7035,43.9361,11.5184,ENSDARG00000102874,immt,4.89404,4.52949,43.7591,77.3246,97.3924,30.6449
ENSDARG00000030106,stmn4,64.08555,32.339354,64.5550027,69.757674,47.171,39.85884,ENSDARG00000030106,stmn4,9.590748,6.92126,20.545109,25.65482,21.86025,18.08701
ENSDARG00000056414,usp1,176.294155,165.638,182.638681,174.58,243.330157,132.085606,ENSDARG00000056414,usp1,103.003,104.04,238.318,205.093554,208.293,98.301461
ENSDARG00000019791,prmt3,57.691938,54.50388,41.17725,37.4277011,36.65462,27.986926,ENSDARG00000019791,prmt3,12.9095,9.536792,30.95214,30.39334,28.23271,21.73811
ENSDARG00000062187,kif14,85.9640771,86.8858,95.240436,87.4792,75.0814,29.0887,ENSDARG00000062187,kif14,15.32051,15.86326,63.3297,62.1017,70.2343,15.7832
ENSDARG00000035556,rps6ka3a,114.0851,117.6957,110.8565,98.5925,100.3064,84.1096,ENSDARG00000035556,rps6ka3a,26.83084,39.9564,96.742,102.9003,107.0332,55.40914
ENSDARG00000062695,ccdc126,29.610182,31.3453,31.3669,35.0903,16.4277,2.3754,ENSDARG00000062695,ccdc126,6.76965,8.860142,26.5448,25.798,25.314,5.38198
ENSDARG00000002021,pygb,28.1973,36.8355,32.7464,27.2447,32.9631,25.0173,ENSDARG00000002021,pygb,7.37791,7.64513,24.6297,29.6773,29.3269,19.6077
ENSDARG00000103902,nde1,112.774,124.785,83.57,79.6166,117.843,35.5379,ENSDARG00000103902,nde1,29.4052,30.6814,102.641,94.4257,97.6567,24.9271
ENSDARG00000032340,serhl,30.54347,23.879576,23.24004,23.8047,18.73184,2.743695,ENSDARG00000032340,serhl,1.30578,3.040615,15.4444,21.3711,16.35853,3.151391
ENSDARG00000014474,yipf1,90.764835,90.397595,87.2161237,79.20414,60.679858,7.229592,ENSDARG00000014474,yipf1,13.84591,13.06403,96.63123,104.8823,107.4793,12.67957
ENSDARG00000013079,tubgcp2,57.29011,50.73152,53.04502,53.9853,37.68484,8.839003,ENSDARG00000013079,tubgcp2,12.63901,15.27955,45.81878,52.97106,59.6063,7.33484
ENSDARG00000068919,rad51c,38.79237,27.16118,39.55085,39.2627,10.267064,2.22749,ENSDARG00000068919,rad51c,5.83135,6.4149,20.0279,24.9729,24.5043,2.14748
ENSDARG00000039429,adka,120.95862,119.465,170.543348,97.5011,163.45211,117.31201,ENSDARG00000039429,adka,10.622541,10.725,47.412197,55.61995,68.21874,66.850354
ENSDARG00000010316,qars,39.5657,57.460352,40.1823,39.4588,48.54138,22.40778,ENSDARG00000010316,qars,2.543961,1.94668,14.773516,24.0466,27.0106,14.0426
ENSDARG00000006257,vldlr,150.80922,186.31258,179.26896,163.687628,109.16378,22.05095,ENSDARG00000006257,vldlr,29.66926,36.37304,86.80441,149.1666,198.201847,31.44932
ENSDARG00000002912,adipor1a,124.77367,150.338898,114.885748,146.7328,74.12701,16.725187,ENSDARG00000002912,adipor1a,35.568,40.5575,107.032,117.103,111.334,20.877
ENSDARG00000030964,pde12,78.9864,82.5674,73.4119,76.8581,59.5609,29.322,ENSDARG00000030964,pde12,6.15399,8.04454,35.4781,44.183,40.8864,17.5295
ENSDARG00000092123,si:dkey-20d21.12,36.96891,34.11193,33.85558,38.72637,17.851146,3.191929,ENSDARG00000092123,si:dkey-20d21.12,9.8914,9.32153,36.08358,45.27096,26.02022,5.03277
ENSDARG00000098771,cbx8b,74.259,71.3966,72.5414,86.7702,39.3726,2.27692,ENSDARG00000098771,cbx8b,5.63886,4.87842,42.7184,49.6471,52.6681,2.56822
ENSDARG00000036073,cebpg,141.78774,127.80691,150.0913,125.61859,126.91775,36.4979,ENSDARG00000036073,cebpg,11.16064,10.9578,121.10423,140.09199,150.71121,42.80788
ENSDARG00000009640,psmb1,99.2186,100.692,87.4117,67.3373,50.2878,63.3157,ENSDARG00000009640,psmb1,8.58948,6.87743,23.702,31.1741,39.0868,55.3532
ENSDARG00000018788,st8sia2,53.9392,68.4058,60.9109,76.5634,41.9738,5.52052,ENSDARG00000018788,st8sia2,4.37474,4.01245,11.3133,16.4888,33.0137,3.24974
ENSDARG00000025693,tmem9b,79.8433,75.5823,74.8159,60.622,28.1687,13.1916,ENSDARG00000025693,tmem9b,8.87568,12.2271,36.5847,48.4184,38.5001,18.9718
ENSDARG00000105185,snx7,88.0636,81.3551,96.41964,89.56125,43.23666,10.506084,ENSDARG00000105185,snx7,4.651464,4.982462,10.111474,19.920345,32.47891,7.151127
ENSDARG00000101251,ldha,89.9002,47.55732,75.24157,68.1536,31.2696,5.37868,ENSDARG00000101251,ldha,4.18851,8.47362,31.0824,38.18436,27.82804,5.77189
ENSDARG00000003017,zgc:55512,311.168,264.295,259.1006,198.54577,264.3984,82.8302,ENSDARG00000003017,zgc:55512,50.04339,52.705,307.9716,316.8076,310.3172,88.53524
ENSDARG00000099177,dok1b,39.6395,42.9805,46.5651,40.5115,21.7874,1.40953,ENSDARG00000099177,dok1b,6.62393,8.2065,21.6699,29.9508,20.3417,1.86104
ENSDARG00000021974,sfr1,137.0614,133.27,137.5915,116.9365,103.2152,27.5913,ENSDARG00000021974,sfr1,4.67772,5.70592,25.111108,39.4122,38.6655,14.9512
ENSDARG00000017188,si:ch211-223m11.2,53.8429,75.74514,40.88718,34.8418,19.82862,2.502087,ENSDARG00000017188,si:ch211-223m11.2,5.49996,4.58896,30.3986,37.7653,26.9865,4.246981
ENSDARG00000043177,lsm1,140.151,146.2,143.425,101.069,60.3379,5.55231,ENSDARG00000043177,lsm1,4.31591,5.94806,73.741,104.728,72.7048,4.99585
ENSDARG00000054473,tinf2,109.481,109.474,107.694,109.312,25.476544,13.8983,ENSDARG00000054473,tinf2,14.4983,16.1223,57.4746,64.3069,45.8405,10.3225
ENSDARG00000028448,edem2,12.7499242,11.369864,14.1362768,13.3831,5.43416,2.9706734,ENSDARG00000028448,edem2,3.04942569,4.6274931,18.82382,30.0198,20.5959,5.80919398
ENSDARG00000062272,afg3l2,32.26454,46.4994,36.97637,40.4526,24.01870001,2.794105,ENSDARG00000062272,afg3l2,4.89614,3.32456,18.434,26.3375,26.2024341,2.47597
ENSDARG00000055162,zhx2,80.5793,72.1926,88.9755,74.3908,70.396,14.2026,ENSDARG00000055162,zhx2,3.35862,2.41081,32.2457,41.5615,55.8262,8.82263
ENSDARG00000070028,tmem41aa,89.483618,86.135949,77.514,68.970265,64.859301,18.1931,ENSDARG00000070028,tmem41aa,23.34895,20.11805,75.1081,85.892,78.655,23.9253
ENSDARG00000041140,ddb2,114.8402,106.8077,122.1151,127.6363,45.5592,21.88635,ENSDARG00000041140,ddb2,3.44322,2.251274,26.83984,32.8679,28.37665,11.3031
ENSDARG00000075314,zgc:174906,258.2015,225.661003,278.249,206.479049,161.292676,39.8954,ENSDARG00000075314,zgc:174906,17.42319,21.52764,111.1877,130.957,108.5413,23.31101
ENSDARG00000056102,uxs1,45.2012,46.945,47.5787,45.98372,11.61,2.75084,ENSDARG00000056102,uxs1,8.48062,7.15916,36.5285,41.411121,26.8306,4.34883
ENSDARG00000057272,slc30a9,116.6946,130.2598,131.8952,102.17339,91.5306,12.873389,ENSDARG00000057272,slc30a9,8.27584,18.44138,54.9041,51.397539,65.5912,9.02284
ENSDARG00000076334,mrpl43,19.8087,22.1025,19.7885,18.6975,11.3972,5.51931,ENSDARG00000076334,mrpl43,1.17303,2.80667,18.6007,23.8136,26.9344,11.7194
ENSDARG00000093182,eif2ak1,135.996,133.144,102.648,117.079,85.637756,17.744609,ENSDARG00000093182,eif2ak1,2.84794,4.30892,40.2943,54.2846,52.2865,6.77885
ENSDARG00000045567,phpt1,94.22577,112.75801,61.37378,74.45247,62.04814,83.51686,ENSDARG00000045567,phpt1,7.74643,6.83489,23.447658,35.297807,45.94057,24.792812
ENSDARG00000038835,ppid,53.66477,50.9425,64.68827,49.1817,36.12374,25.2542,ENSDARG00000038835,ppid,10.37,9.04824,22.3993,23.9204,23.5876,20.336
ENSDARG00000032516,rrp36,150.475,126.943,159.619,131.974,94.9629,73.0792,ENSDARG00000032516,rrp36,4.31245,6.51677,21.5944,22.0899,35.4894,21.2685
ENSDARG00000071868,znf711,78.3243,65.3344,40.7955,48.2503,40.4258,14.969,ENSDARG00000071868,znf711,3.47824,2.29085,28.7447,37.416,40.2907,7.73082
ENSDARG00000094992,otx1b,136.223,132.588,137.667,140.17,62.0507,12.6039,ENSDARG00000094992,otx1b,39.7737,45.9208,139.152,154.175,171.012,18.1827
ENSDARG00000070604,zgc:162509,38.6925,48.6244,25.03852,19.0076,35.12497,7.01749285,ENSDARG00000070604,zgc:162509,5.13533,6.3262,25.05560009,29.50330896,25.2974,3.42389
ENSDARG00000103173,stx8,92.861018,113.17217,108.168486,96.1438,70.991882,13.361169,ENSDARG00000103173,stx8,5.34654,5.636734,27.75974,39.83739,46.658,8.08843
