GeneID,TranscriptID,GeneName,2 hpf,4 hpf,6 hpf
ENSDARG00000025693,ENSDART00000028887,tmem9b,21.7,29.6,62.2
ENSDARG00000074915,ENSDART00000152789,etaa1,13.3,21.9,49.5
ENSDARG00000015474,ENSDART00000009356,ppp2r5ea,19.6,28.9,39.2
ENSDARG00000105045,ENSDART00000125839,bmpr1ab,21.6,35.0,86.5
ENSDARG00000043177,ENSDART00000063392,lsm1,28.1,24.9,29.3
ENSDARG00000075314,ENSDART00000136623,zgc:174906,35.0,33.9,66.0
ENSDARG00000098771,ENSDART00000103100,cbx8b,23.7,23.9,14.4
ENSDARG00000079015,ENSDART00000111472,brca2,20.8,32.2,71.8
ENSDARG00000092123,ENSDART00000147912,si:dkey-20d21.12,23.2,32.9,27.6
ENSDARG00000020494,ENSDART00000014232,znf330,23.4,38.8,55.7
ENSDARG00000004851,ENSDART00000124487,hinfp,42.7,26.3,28.7
ENSDARG00000016866,ENSDART00000137556,fam102ab,26.1,43.6,15.5
ENSDARG00000006915,ENSDART00000014552,arl8ba,31.3,31.0,48.1
ENSDARG00000004280,ENSDART00000013865,seh1l,30.7,53.0,55.9
ENSDARG00000008573,ENSDART00000013453,fam20b,28.0,34.4,25.5
ENSDARG00000005993,ENSDART00000134941,prc1b,23.8,10.9,20.6
ENSDARG00000033437,ENSDART00000044378,rps6ka1,31.8,28.3,45.1
ENSDARG00000070432,ENSDART00000103336,ino80,33.0,34.6,42.9
ENSDARG00000054501,ENSDART00000076693,stambpa,27.9,30.5,22.6
ENSDARG00000030267,ENSDART00000049331,gtf3aa,17.5,32.0,45.7
ENSDARG00000043021,ENSDART00000063157,slc26a11,39.8,31.6,73.7
ENSDARG00000056623,ENSDART00000079138,ptenb,34.3,37.3,46.2
ENSDARG00000024693,ENSDART00000031194,lysmd3,32.6,36.8,37.8
ENSDARG00000103173,ENSDART00000060547,stx8,21.9,38.2,41.3
ENSDARG00000002912,ENSDART00000026258,adipor1a,24.7,28.0,53.2
ENSDARG00000034541,ENSDART00000039832,tgfbr2,21.1,34.1,9.1
ENSDARG00000035556,ENSDART00000051546,rps6ka3a,29.2,42.0,29.4
ENSDARG00000069328,ENSDART00000100791,si:dkey-12e7.1,32.8,31.9,24.6
ENSDARG00000103207,ENSDART00000148777,rab11fip4b,28.3,29.3,86.7
ENSDARG00000057513,ENSDART00000080201,mdm4,40.8,29.9,46.3
ENSDARG00000056102,ENSDART00000078525,uxs1,23.5,30.0,90.9
ENSDARG00000100072,ENSDART00000074004,mgrn1a,8.7,,36.1
ENSDARG00000038835,ENSDART00000124773,ppid,16.2,47.6,
ENSDARG00000053138,ENSDART00000075129,lrrc47,,,
ENSDARG00000007065,ENSDART00000023074,mrps18b,21.8,38.2,50.2
ENSDARG00000056414,ENSDART00000078908,usp1,57.0,73.8,41.6
ENSDARG00000021974,ENSDART00000125396,sfr1,19.2,32.4,28.3
ENSDARG00000098075,ENSDART00000052293,sh3bgrl3,32.8,52.9,35.8
ENSDARG00000018918,ENSDART00000132950,rad17,15.7,21.1,73.6
ENSDARG00000018738,ENSDART00000016167,zw10,22.0,28.5,50.1
ENSDARG00000102874,ENSDART00000080120,immt,21.8,41.5,29.0
ENSDARG00000015471,ENSDART00000020505,chd1l,30.7,39.5,32.3
